"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Maternal","HIV","TB","OtherCMPN","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2003,15,19,"F","Rate","Point",0.29248,0.11628,0.56739,0.7703,0.41769,0.34214,0.37318,0.90216,0.15619,0.64426,0.11412,0.33881,0.43198,0.02239,0.05315
"World",2003,15,19,"F","Rate","Upper",0.32695,0.12918,0.63166,0.93294,0.46968,0.3881,0.40994,0.97457,0.17629,0.68897,0.12917,0.37287,0.4845,0.02384,0.06385
"World",2003,15,19,"M","Deaths","Lower",0,4737,31585,41320,23490,17383,25259,45159,44144,29912,21278,63845,37405,2071,5366
"World",2003,15,19,"M","Deaths","Point",0,5469,40251,45066,25225,18568,26514,47395,45979,31713,22562,66153,39406,2215,6163
"World",2003,15,19,"M","Deaths","Upper",0,6175,43849,56340,27268,19933,27997,49745,48181,33652,24066,68736,41798,2361,7300
"World",2003,15,19,"M","Fraction","Lower",0,0.01125,0.07438,0.09787,0.05555,0.0412,0.05989,0.10723,0.10445,0.07074,0.05055,0.15156,0.08869,0.00486,0.0126
"World",2003,15,19,"M","Fraction","Point",0,0.01294,0.09523,0.10662,0.05968,0.04393,0.06273,0.11213,0.10878,0.07503,0.05338,0.15651,0.09323,0.00524,0.01458
"World",2003,15,19,"M","Fraction","Upper",0,0.01452,0.10315,0.13272,0.06411,0.04669,0.06552,0.11651,0.11325,0.07896,0.05643,0.16065,0.09812,0.0056,0.0171
"World",2003,15,19,"M","Rate","Lower",0,0.07636,0.5091,0.66607,0.37867,0.28023,0.40718,0.72795,0.71164,0.48218,0.343,1.02919,0.60296,0.03339,0.08649
"World",2003,15,19,"M","Rate","Point",0,0.08816,0.64882,0.72643,0.40661,0.2993,0.42739,0.76397,0.74114,0.5112,0.36369,1.06634,0.6352,0.0357,0.09934
"World",2003,15,19,"M","Rate","Upper",0,0.09953,0.70682,0.90811,0.43954,0.32129,0.45128,0.80178,0.77659,0.54243,0.3879,1.10792,0.67374,0.03806,0.11766
"World",2004,15,19,"F","Deaths","Lower",15230,6266,25587,38971,21751,17628,20468,49595,8105,35724,5969,18314,23006,7391,2461
"World",2004,15,19,"F","Deaths","Point",16918,7439,32264,43704,24059,19830,22184,53051,9192,37946,6689,19942,25419,8663,2866
"World",2004,15,19,"F","Deaths","Upper",18938,8254,36197,53551,27000,22449,24396,57173,10375,40547,7580,21999,28453,10382,3427
"World",2004,15,19,"F","Fraction","Lower",0.04625,0.01878,0.07718,0.11801,0.06613,0.05327,0.06188,0.15081,0.0244,0.10852,0.01805,0.05539,0.06976,0.02256,0.00743
"World",2004,15,19,"F","Fraction","Point",0.05124,0.02253,0.09772,0.13237,0.07287,0.06006,0.06719,0.16068,0.02784,0.11493,0.02026,0.0604,0.07699,0.02624,0.00868
"World",2004,15,19,"F","Fraction","Upper",0.05671,0.02489,0.1088,0.16002,0.08064,0.06764,0.07339,0.17155,0.0313,0.12135,0.02265,0.06611,0.08531,0.03088,0.01035
"World",2004,15,19,"F","Rate","Lower",0.25393,0.10448,0.42661,0.64978,0.36266,0.29391,0.34127,0.82695,0.13515,0.59563,0.09952,0.30535,0.38358,0.12324,0.04103
"World",2004,15,19,"F","Rate","Point",0.28207,0.12402,0.53793,0.72867,0.40114,0.33062,0.36987,0.88451,0.15325,0.63267,0.11153,0.33249,0.42382,0.14445,0.04778
"World",2004,15,19,"F","Rate","Upper",0.31575,0.13761,0.60351,0.89275,0.45013,0.37425,0.40673,0.95313,0.17297,0.67596,0.12638,0.36678,0.47438,0.17309,0.05714
"World",2004,15,19,"M","Deaths","Lower",0,5496,30412,40125,23232,17269,25030,44960,43062,30068,21084,63256,37022,10869,4848
"World",2004,15,19,"M","Deaths","Point",0,6376,38996,44063,25007,18469,26287,47118,44858,31841,22350,65484,38983,12512,5580
"World",2004,15,19,"M","Deaths","Upper",0,7157,42519,54986,27037,19817,27761,49468,47038,33825,23855,67930,41351,14776,6568
"World",2004,15,19,"M","Fraction","Lower",0,0.01285,0.07097,0.09417,0.05417,0.0405,0.05863,0.10527,0.10063,0.07029,0.04936,0.14795,0.08656,0.02551,0.01134
"World",2004,15,19,"M","Fraction","Point",0,0.0149,0.09113,0.10297,0.05844,0.04316,0.06143,0.11011,0.10483,0.07441,0.05223,0.15303,0.0911,0.02924,0.01304
"World",2004,15,19,"M","Fraction","Upper",0,0.01656,0.09928,0.12771,0.06285,0.04577,0.06414,0.11441,0.10891,0.07827,0.05525,0.15731,0.09579,0.03385,0.01527
