"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2013,10,14,"B","Fraction","Upper",0.00061,0.10236,0.11984,0.13458,0.00042,0.29272,0.04399,0.04464,0.10588,0.04771,0.04463,0.13422,0.01115,0.45054
"AFG",2013,10,14,"B","Rate","Lower",0,0.01256,0.00258,0.0895,0,0.1333,0.02629,0.02693,0.07186,0.02742,0.02814,0.0929,0.00558,0.53948
"AFG",2013,10,14,"B","Rate","Point",0.00091,0.23188,0.10442,0.33272,0.0012,0.75155,0.10542,0.10702,0.27372,0.11209,0.10897,0.34273,0.01193,0.76618
"AFG",2013,10,14,"B","Rate","Upper",0.00282,0.57882,0.36381,0.74634,0.00255,1.66548,0.23841,0.24036,0.59697,0.25047,0.24636,0.75198,0.01902,0.87902
"AFG",2014,10,14,"B","Deaths","Lower",0,7,1,38,0,39,10,11,29,12,11,38,23,491
"AFG",2014,10,14,"B","Deaths","Point",1,159,83,234,1,523,74,79,192,80,75,240,35,886
"AFG",2014,10,14,"B","Deaths","Upper",4,464,308,579,4,1311,183,199,456,199,188,581,47,1071
"AFG",2014,10,14,"B","Fraction","Lower",0,0.00429,0.0006,0.04505,0,0.04447,0.01278,0.01404,0.0373,0.01442,0.01447,0.04714,0.00621,0.19982
"AFG",2014,10,14,"B","Fraction","Point",0.00036,0.0597,0.03102,0.08787,0.00048,0.19654,0.02774,0.02972,0.07215,0.02995,0.02835,0.09017,0.01305,0.33289
"AFG",2014,10,14,"B","Fraction","Upper",0.00082,0.09352,0.11421,0.11963,0.00058,0.26496,0.03909,0.04236,0.09384,0.04283,0.03896,0.11862,0.04234,0.60824
"AFG",2014,10,14,"B","Rate","Lower",0,0.00768,0.00172,0.04165,0,0.04304,0.01144,0.01269,0.03256,0.0133,0.0127,0.04202,0.025,0.53435
"AFG",2014,10,14,"B","Rate","Point",0.00104,0.17253,0.08964,0.25394,0.00139,0.56798,0.08017,0.08589,0.20851,0.08655,0.08193,0.26058,0.03771,0.96202
"AFG",2014,10,14,"B","Rate","Upper",0.00362,0.50229,0.33345,0.62677,0.00332,1.42144,0.19774,0.21512,0.49331,0.21483,0.20311,0.62949,0.05103,1.16128
"AFG",2015,10,14,"B","Deaths","Lower",0,0,0,1,0,0,0,0,1,0,0,1,0,160
"AFG",2015,10,14,"B","Deaths","Point",1,126,68,183,2,416,58,67,151,65,59,193,5,1031
"AFG",2015,10,14,"B","Deaths","Upper",3,441,248,555,5,1271,172,203,437,193,180,572,10,1351
"AFG",2015,10,14,"B","Fraction","Lower",0,0.00044,0.00042,0.00891,0.00007,0.00148,0.00257,0.00311,0.00739,0.00339,0.00278,0.00926,0.00021,0.22809
