"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"East Asia and Pacific",2011,10,14,"B",51402,1.64567,0.00644,0.0368,0.03547,0.01675,0.00504,0.0931,0.03643,0.1225,0.24203,0.14716,0.09921,0.14941,0.00807,0.00159
"East Asia and Pacific",2012,10,14,"B",49312,1.59458,0.00703,0.03645,0.03422,0.01585,0.00505,0.09165,0.03539,0.12534,0.24554,0.14596,0.09954,0.15444,0.00215,0.00138
"East Asia and Pacific",2013,10,14,"B",48120,1.57077,0.00749,0.0374,0.03407,0.01556,0.00422,0.09086,0.03369,0.12793,0.24951,0.14041,0.09972,0.15593,0.00229,0.00091
"East Asia and Pacific",2014,10,14,"B",45988,1.51256,0.00812,0.03662,0.03292,0.0146,0.00383,0.08789,0.0331,0.13387,0.25142,0.13654,0.1002,0.15833,0.00193,0.00064
"East Asia and Pacific",2015,10,14,"B",44599,1.47371,0.00837,0.03724,0.03146,0.01478,0.0035,0.08649,0.03214,0.13883,0.25081,0.13214,0.10019,0.16243,0.00056,0.00106
"East Asia and Pacific",2016,10,14,"B",43326,1.43505,0.00854,0.03757,0.03015,0.01467,0.00354,0.08333,0.03119,0.14475,0.25326,0.1272,0.09697,0.16523,0.00304,0.00057
"East Asia and Pacific",2017,10,14,"B",42218,1.39777,0.00853,0.03664,0.02977,0.01441,0.00313,0.08095,0.03007,0.14976,0.25737,0.11938,0.0934,0.16971,0.00156,0.00532
"East Asia and Pacific",2018,10,14,"B",41282,1.36379,0.00834,0.03714,0.02886,0.0142,0.0025,0.07985,0.02942,0.15207,0.26021,0.11327,0.09021,0.17192,0.01146,0.00054
"East Asia and Pacific",2019,10,14,"B",40351,1.32837,0.00823,0.03778,0.02905,0.01419,0.00246,0.08034,0.02943,0.15621,0.26614,0.10919,0.08882,0.17556,0.0017,0.0009
"Eastern and Southern Africa",2000,10,14,"B",81437,9.02344,0.05863,0.10172,0.01845,0.14493,0.12719,0.25378,0.03067,0.00855,0.12491,0.04258,0.02748,0.0215,0.00099,0.03864
"Eastern and Southern Africa",2001,10,14,"B",80713,8.76826,0.07377,0.10466,0.01993,0.14591,0.13287,0.24442,0.03185,0.00971,0.12849,0.0442,0.02864,0.02244,0.00023,0.01289
"Eastern and Southern Africa",2002,10,14,"B",79994,8.51911,0.08713,0.1073,0.02064,0.13988,0.12691,0.23372,0.032,0.01096,0.13096,0.04579,0.02993,0.02354,0.00032,0.01092
"Eastern and Southern Africa",2003,10,14,"B",79267,8.2675,0.10025,0.10883,0.02131,0.13234,0.12515,0.22004,0.03185,0.01233,0.13249,0.04736,0.03128,0.0249,0.00031,0.01158
